scenario,operation,second,latency_ms,ok
none,order history,11.530,0.171,true
none,product page,11.540,0.762,true
none,checkout,11.550,17.744,true
none,order history,11.560,0.386,true
none,product page,11.570,1.936,true
none,product page,11.580,0.252,true
none,product page,11.590,0.337,true
none,product page,11.600,0.524,true
none,product page,11.610,0.386,true
none,checkout,11.620,9.468,true
none,product page,11.630,0.363,true
none,product page,11.640,0.969,true
none,product page,11.650,1.053,true
none,order history,11.660,0.633,true
none,order history,11.670,-0.536,true
none,product page,11.680,0.279,true
none,order history,11.690,-0.127,true
none,order history,11.700,0.157,true
none,product page,11.710,0.267,true
none,checkout,11.720,8.939,true
none,order history,11.730,0.154,true
none,order history,11.740,0.112,true
none,product page,11.750,0.850,true
none,product page,11.760,0.774,true
none,product page,11.770,-0.095,true
none,order history,11.780,-0.190,true
none,order history,11.790,-0.095,true
none,product page,11.800,-0.485,true
none,product page,11.810,0.052,true
none,product page,11.820,0.672,true
none,checkout,11.830,9.513,true
none,product page,11.840,0.857,true
none,checkout,11.850,9.630,true
none,product page,11.860,1.693,true
none,product page,11.870,-0.016,true
none,product page,11.880,0.572,true
none,product page,11.890,0.105,true
none,product page,11.900,0.713,true
none,checkout,11.910,8.911,true
none,product page,11.920,0.381,true
none,product page,11.930,0.865,true
none,product page,11.940,0.933,true
none,product page,11.950,0.209,true
none,product page,11.960,1.456,true
none,product page,11.970,0.433,true
none,order history,11.980,-0.115,true
none,product page,11.990,0.746,true
none,product page,12.000,0.850,true
none,product page,12.010,0.862,true
none,product page,12.020,1.433,true
none,product page,12.030,0.955,true
none,product page,12.040,0.060,true
none,product page,12.050,0.116,true
none,order history,12.060,-0.156,true
none,product page,12.070,0.435,true
none,order history,12.080,-0.014,true
none,product page,12.090,0.733,true
none,product page,12.100,0.795,true
none,product page,12.110,0.893,true
none,product page,12.120,1.038,true
none,checkout,12.130,9.067,true
none,product page,12.140,0.768,true
none,order history,12.150,-0.251,true
none,product page,12.160,2.420,true
none,product page,12.170,0.591,true
none,product page,12.180,0.666,true
none,product page,12.190,1.762,true
none,order history,12.200,0.285,true
none,product page,12.210,0.957,true
none,product page,12.220,1.027,true
none,order history,12.230,0.537,true
none,order history,12.240,-0.361,true
none,checkout,12.250,9.033,true
none,checkout,12.260,8.918,true
none,order history,12.270,-0.031,true
none,order history,12.280,-0.056,true
none,product page,12.290,0.649,true
none,product page,12.300,0.864,true
none,product page,12.310,1.050,true
none,order history,12.320,1.336,true
none,product page,12.330,0.304,true
none,product page,12.340,0.266,true
none,product page,12.350,1.521,true
none,order history,12.360,-0.027,true
none,product page,12.370,0.620,true
none,product page,12.380,0.702,true
none,product page,12.390,0.750,true
none,product page,12.400,0.796,true
none,product page,12.410,1.099,true
none,checkout,12.420,10.135,true
none,product page,12.430,0.302,true
none,checkout,12.440,8.271,true
none,product page,12.450,0.478,true
none,order history,12.460,-0.041,true
none,product page,12.470,0.666,true
none,checkout,12.480,8.879,true
none,product page,12.490,0.794,true
none,product page,12.500,0.836,true
none,product page,12.510,0.884,true
none,product page,12.520,1.961,true
none,product page,12.530,0.060,true
none,product page,12.540,1.359,true
none,product page,12.550,-0.026,true
none,product page,12.560,0.539,true
none,product page,12.570,0.298,true
none,product page,12.580,0.927,true
none,order history,12.590,0.376,true
none,product page,12.600,1.065,true
none,order history,12.610,1.659,true
none,product page,12.620,0.247,true
none,product page,12.630,0.251,true
none,product page,12.640,1.249,true
none,order history,12.650,-0.082,true
none,product page,12.660,0.799,true
none,product page,12.670,0.909,true
none,product page,12.680,1.038,true
none,product page,12.690,1.601,true
none,order history,12.700,-0.325,true
none,order history,12.710,-0.299,true
none,order history,12.720,-0.128,true
none,product page,12.730,0.345,true
none,product page,12.740,0.471,true
none,product page,12.750,0.510,true
none,product page,12.760,0.838,true
none,order history,12.770,0.291,true
none,product page,12.780,2.143,true
none,product page,12.790,0.246,true
none,product page,12.800,0.348,true
none,order history,12.810,-0.154,true
none,product page,12.820,0.112,true
none,product page,12.830,0.552,true
none,product page,12.840,0.218,true
none,product page,12.850,0.705,true
none,product page,12.860,0.702,true
none,product page,12.870,1.009,true
none,product page,12.880,1.068,true
none,product page,12.890,1.235,true
none,product page,12.900,0.305,true
none,order history,12.910,-0.146,true
none,product page,12.920,0.485,true
none,product page,12.930,0.843,true
none,order history,12.940,0.150,true
none,product page,12.950,0.736,true
none,product page,12.960,0.786,true
none,product page,12.970,0.956,true
none,order history,12.980,0.243,true
none,product page,12.990,1.319,true
none,order history,13.000,-0.087,true
none,product page,13.010,0.205,true
none,product page,13.020,0.168,true
none,order history,13.030,-0.020,true
none,order history,13.040,0.320,true
none,order history,13.050,0.556,true
none,checkout,13.060,9.645,true
none,order history,13.070,-0.367,true
none,product page,13.080,0.205,true
none,product page,13.090,0.499,true
none,product page,13.100,0.521,true
none,product page,13.110,0.756,true
none,product page,13.120,0.862,true
none,product page,13.130,0.866,true
none,checkout,13.140,9.870,true
none,product page,13.150,0.677,true
none,product page,13.160,-0.297,true
none,product page,13.170,0.200,true
none,product page,13.180,0.247,true
none,product page,13.190,1.287,true
none,product page,13.200,0.521,true
none,order history,13.210,0.110,true
none,product page,13.220,0.799,true
none,order history,13.230,0.191,true
none,product page,13.240,1.034,true
none,product page,13.250,1.095,true
none,product page,13.260,0.691,true
none,product page,13.270,0.246,true
none,product page,13.280,1.337,true
none,product page,13.290,0.431,true
none,product page,13.300,0.484,true
none,order history,13.310,0.252,true
